"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,106.85,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,123.6,0.56
2018-11-30,2018-11-30,2760,2759.21,0.56,2759.21,180.29,0.56
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,0.03,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,13.35,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,25.9,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,29.15,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,34.15,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,42.1,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,43.6,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,46.2,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,50.29,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,52.36,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,55.11,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,60.2,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,64.15,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,61.5,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,65.05,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,64.5,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,65.1,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,67.54,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,69.4,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,75.4,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,85.2,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,93.66,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,102.25,-1.69
2018-12-31,2018-12-31,2505,2506.71,0.03,2506.71,114.25,-1.69
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,2.15,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,10.25,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,14.35,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,19.71,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,22.6,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,24.9,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,28.41,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,30.14,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,32.84,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,33.8,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,35.75,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,37.55,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,40,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,40.55,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,41.86,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,43.55,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,46.16,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,47.45,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,52.6,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,58.55,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,63.1,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,67.85,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,75.5,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,90.1,1.57
2019-01-31,2019-01-31,2705,2705.58,2.15,2705.58,109.4,1.57
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,0.86,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,7.15,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,9.9,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,14.3,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,18.8,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,20.7,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,23.95,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,25.59,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,27.95,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,30.65,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,33.35,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,34.19,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,36.2,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,38.5,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,43.25,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,47.7,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,51.5,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,56.34,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,58.34,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,61.56,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,67.7,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,85.65,0.86
2019-02-28,2019-02-28,2785,2783.53,0.86,2783.53,89.4,0.86
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,0.6,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,8.2,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,14,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,16.75,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,19.84,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,22.54,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,25.7,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,25.55,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,30.45,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,31.09,0.6
